T2R,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
203.283,193.326,196.908,243.406,265,331.284,316.403,251.481,210.231,231.852,267.242,286.199,231.922,209.282,196.683,203.474,217.859,179.152
194.032,185.979,194.303,238.272,261.997,325.563,305.573,243.854,209.525,231.392,270.454,280.531,228.609,201.238,192.202,203.65,199.514,170.562
185.384,179.644,195.941,255.871,272.891,322.815,313.885,251.625,210.016,230.257,269.258,275.862,231.045,206.988,192.977,198.185,189.003,165.565
180.025,176.105,194.34,292.903,280.839,321.202,314.132,250.46,209.637,230.958,263.38,285.141,230.548,206.525,200.113,199.731,185.45,163.895
176.493,177.177,192.886,336.164,311.994,330.938,314,246.598,217.244,225.633,265.779,279.525,231.111,235.314,214.353,191.886,176.53,162.264
177.318,171.789,193.715,376.906,357.936,325.962,316.785,255.202,214.066,230.402,266.874,279.988,240.939,272.375,223.794,186.437,176.499,161.159
176.384,172.023,188.004,383.371,409.826,359.22,326.302,251.269,210.837,229.141,267.319,286.46,263.414,322.334,233.384,186.388,172.419,158.553
173.943,170.734,183.691,329.373,484.19,425.636,340.924,252.218,206.556,240.367,274.77,316.39,310.851,378.255,218.225,177.11,174.781,157.254
169.901,170.881,183.73,237.802,492.141,712.924,417.719,261.194,209.528,239.814,280.77,415.886,434.455,324.842,183.609,170.757,167.049,158.232
170.978,168.077,182.322,239.947,438.817,743.038,471.507,260.061,215.4,235.251,280.402,478.328,472.753,296.689,184.908,170.755,169.656,159.022
170.682,168.99,182.614,235.362,406.582,796.252,557.597,256.721,215.884,236.373,283.727,576.326,510.086,266.519,185.962,169.661,168.308,158.548
171.33,169.858,185.279,230.053,354.193,785.604,669.42,269.843,212.328,237.196,295.813,670.182,502.601,236.399,181.34,169.061,167.46,157.487
169.675,168.477,179.754,220.426,322.695,770.003,777.319,284.689,218.628,246.174,315.847,739.51,453.184,225.194,177.313,170.044,165.452,155.631
166.7,168.003,182.046,226.993,299.518,676.035,839.688,298.763,223.947,239.495,330.837,768.581,408.348,219.152,179.987,171.808,168.177,159.159
168.281,168.047,181.809,227.279,297.846,587.674,896.347,318.277,222.559,245.019,352.028,787.968,347.242,216.543,181.271,172.037,168.051,158.531
167.197,169.144,180.95,218.267,289.698,519.24,890.417,327.423,225.897,249.212,385.147,785.434,311.727,208.988,178.084,170.995,170.676,159.707
164.596,172.424,184.947,225.779,272.318,391.701,778.653,399.636,240.056,280.466,505,696.249,257.141,203.938,178.681,169.147,167.589,157.641
168.192,166.887,179.888,225.615,274.502,367.639,680.059,420.476,255.209,300.023,556.012,577.258,246.444,205.516,176.943,166.752,169.918,156.626
166.197,165.926,181.316,219.855,267.804,371.842,603.406,444.585,263.197,319.093,599.896,502.604,241.621,205.777,177.845,167.145,168.054,157.939
164.071,167.6,185.401,227.274,267.881,357.029,534.292,455.556,270.697,339.084,650.647,447.179,240.533,202.833,175.929,167.168,169.799,159.98
166.768,169.602,182.219,223.187,264.37,343.592,468.323,474.574,290.484,401.486,708.233,406.557,239.667,202.062,179.092,169.759,170.892,159.127
163.761,168.424,176.452,217.028,265.987,348.51,432.25,475.351,314.256,463.965,744.877,359.534,240.346,201.258,176.395,167.369,167.674,160.154
165.51,168.098,179.728,221.546,262.781,338.525,401.493,448.564,346.059,535.939,701.758,335.384,233.207,201.408,178.08,170.818,166.285,159.638
164.458,167.361,180.623,220.157,265.585,332.434,382.003,421.077,365.666,584.299,643.353,326.384,227.285,199.249,176.122,171.75,165.74,157
164.148,168.381,181.171,220.521,259.537,337.809,367.542,367.862,374.803,610.65,580.169,312.985,238.566,200.642,175.916,169.257,167.123,157.518
162.709,167.119,178.491,221.046,260.434,328.695,352.667,346.441,381.484,600.44,483.613,305.733,232.477,201.962,177.792,171.745,173.406,157.435
163.594,169.784,184.822,221.099,260.051,326.994,346.59,313.561,378.772,598.939,453.42,305.501,232.775,203.082,176.492,168.192,169.139,160.073
166.877,167.887,180.048,225.175,256.431,325.789,339.976,296.787,373.975,545.611,396.383,289.865,233.727,208.938,176.376,171.743,170.344,158.093
164.362,168.366,181.491,222.129,259.73,334.32,337.028,281.896,358.638,485.598,372.141,296.152,234.601,201.065,178.162,167.879,164.866,159.545
162.229,167.882,181.066,223.544,262.691,326.293,320.667,277.043,345.694,424.28,348.834,293.267,230.763,199.446,180.134,167.764,171.175,158.269
165.544,168.252,182.607,222.065,262.46,322.501,329.531,269.117,319.375,368.727,322.258,295.751,229.179,200.496,174.681,168.047,172.432,155.853
167.581,168.485,182.289,223.24,261.193,329.845,333.656,266.346,300.587,326.656,309.138,286.144,232.631,199.537,180.143,168.579,168.974,156.741
168.352,171.503,184.513,225.267,262.457,328.079,327.84,263.253,285.256,301.611,293.736,295.607,227.391,202.194,179.269,175.421,171.154,158.917
165.924,169.469,191.371,234.348,266.457,340.466,337.767,264.005,270.909,277.839,292.264,290.938,233.073,201.801,179.2,180.161,172.779,156.658
171.007,171.355,202.996,273.666,288.315,350.455,344.663,259.332,262.259,267.955,290.819,331.848,258.174,212.32,188.742,190.507,182.689,164.711
172.362,176.684,213.754,282.081,287.17,342.856,342.059,256.255,255.009,255.781,289.966,334.513,265.659,211.34,197.132,196.909,184.219,163.313
177.49,178.635,213.219,277.696,279.325,339.311,327.92,257.354,251.653,242.01,273.301,314.748,256.861,215.147,192.105,200.605,189.71,165.1
180.7,175.108,207.596,258.691,270.093,328.188,326.455,254.12,237.428,236.138,279.233,302.393,243.601,208.006,185.571,205.287,189.738,163.636
183.554,184.319,211.143,258.138,273.013,324.375,324.611,252.83,235.938,228.865,271.991,297.701,243.924,202.569,189.874,201.685,193.494,170.834
189.899,185.658,207.851,245.157,272.161,326.408,317.795,254.085,232.363,231.646,276.083,290.595,232.694,205.211,187.24,200.621,196.943,172.474
199.924,192.005,212.509,247.77,272.37,322.651,312.67,256.226,226.831,233.441,275.515,282.466,240.508,208.067,189.891,204.657,204.051,175.178
204.266,191.447,207.774,242.728,268.73,329.721,311.948,252.968,228.022,227.781,264.613,286.39,231.061,209.006,190.637,203.437,216.059,174.932
212.702,195.298,211.042,245.986,267.704,326.762,314.368,258.37,215.35,227.598,276.862,277.569,238.79,208.378,192.195,211.72,226.522,180.399
217.793,197.523,208.829,243.325,264.801,327.578,303.674,252.723,219.406,227.186,262.678,284.352,239.52,209.504,202.422,215.755,238.838,181.929
227.106,198.866,203.643,244.235,269.029,335.141,316.58,254.46,223.359,225.219,269.129,287.833,246.149,216.276,208.212,218.442,246.332,183.756
229.256,206.571,202.996,251.12,263.055,329.457,311.646,250.715,217.706,223.158,259.408,285.531,251.376,219.848,217.672,223.771,248.344,187.87
235.458,198.471,203.05,257.419,267.894,316.73,308.878,251.301,226.4,217.932,261.144,279.95,252.409,229.774,226.586,236.701,261.008,189.555
244.017,206.818,201.338,270.454,273.135,323.569,316.358,251.316,214.009,216.383,261.638,283.179,253.146,247.751,240.571,259.703,271.509,199.628
231.276,199.311,199.044,271.198,272.17,330.452,309.194,253.824,220.475,221.588,263.681,280.736,253.924,253.126,244.861,258.171,277.504,196.034
216.276,195.94,199.568,271.424,273.469,326.323,315.378,252.535,213.234,216.749,263.724,281.155,264.838,257.692,252.055,264.729,276.051,197.306
205.217,186.032,195.112,265.71,274.553,325.528,306.434,252.633,217.216,211.151,263.067,278.214,250.24,242.261,245.193,254.554,255.542,191.203
195.463,181.476,189.91,249.737,275.54,330.065,311.514,252.729,220.347,216.241,259.632,274.522,235.657,229.035,230.065,240.114,247.576,189.022
184.621,175.292,188.743,243.634,259.977,327.548,303.576,247.492,214.3,216.772,258.972,273.205,235.134,217.765,211.899,225.063,227.375,178.553
182.342,173.216,188.327,234.293,263.534,315.584,300.538,245.66,222.469,207.772,262.488,271.038,231.798,212.809,199.197,206.9,204.694,172.469
