T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T
218.626,246.459,247.027,256.158,270.359,419.401,870.585,523.126,283.543,266.73,326.515,574.446,305.155,288.378,260.237,369.534,202.695,206.855
218.766,249.285,244.049,254.953,258.924,354.35,785.653,544.734,298.281,284.304,355.557,539.188,272.378,278.977,254.44,359.478,203.22,201.863
217.445,250.369,248.881,260.666,257.724,344.526,662.734,558.817,337.091,314.901,374.889,466.894,262.092,278.544,257.547,354.783,204.961,207.366
222.406,247.951,246.428,265.78,258.234,338.274,582.838,622.372,379.265,362.91,410.56,415.759,256.853,284.995,258.245,364.866,200.64,202.695
218.674,253.749,250.465,264.035,257.763,331.757,534.95,739.486,459.163,430.214,452.287,375.328,252.705,278.825,257.668,355.558,202.03,203.546
215.928,251.197,247.547,254.814,250.808,322.873,484.311,695.1,553.115,500.836,414.468,349.929,246.064,269.013,249.629,354.053,202.344,204.229
219.558,246.112,245.28,258.242,255.23,321.399,441.473,633.28,659.676,587.738,374.768,319.812,241.974,278.143,256.525,363.005,203.128,205.875
213.427,248.075,245.247,250.393,250.192,329.81,415.313,566.587,720.343,663.185,342.481,302.137,240.396,276.42,252.582,356.22,203.782,202.043
211.036,243.858,241.179,252.067,251.4,315.988,397.352,484.459,757.087,736.753,311.296,286.281,241.285,274.445,252.194,357.784,198.014,201.62
218.401,251.873,238.911,242.043,242.187,303.26,375.877,435.333,752.887,719.966,288.46,270.552,237.977,264.203,249.986,345.648,199.2,207.184
216.962,241.624,248.786,248.961,248.711,311.863,376.702,400.179,668.115,644.824,265.672,266.019,239.416,277.034,250.505,359.164,203.998,199.335
218.551,244.124,247.148,248.979,247.072,305.503,365.068,375.433,608.876,584.369,252.147,259.609,241.298,270.373,249.174,358.773,200.349,199.753
227.751,246.612,242.016,247.965,246.149,306.581,360.444,364.724,547.935,540.742,242.121,258.714,237.768,274.581,256.384,355.033,204.585,201.067
242.691,253.137,239.582,238.648,240.77,303.184,344.676,353.138,475.819,479.369,234.538,252.71,234.797,268.125,251.362,345.106,209.385,208.372
243.884,248.592,247.646,250.992,243.798,308.585,358.449,337.677,439.481,439.962,233.077,253.396,237.905,265.193,249.072,357.686,208.683,207.006
247.246,248.388,246.047,257.362,242.782,312.84,361.052,332.606,399.569,408.43,225.798,250.474,237.494,268.153,252.165,354.952,215.028,202.877
268.872,260.631,257.072,261.741,253.331,309.133,353.648,324.648,366.115,379.174,229.415,257.399,239.049,275.726,251.589,352.395,219.743,211.585
287.502,265.543,272.864,275.191,253.254,302.198,344.029,331.248,342.376,363.168,229.477,253.405,234.985,271.623,262.88,363,226.81,220.297
321.186,278.845,298.49,284.179,257.349,312.736,340.888,316.823,330.106,349.803,221.3,248.844,239.941,277.808,268.873,393.773,235.227,247.957
427.928,451.577,474.42,445.454,323.807,335.499,347.026,312.004,277.507,296.109,225.453,247.361,238.589,296.906,289.446,446.327,330.133,330.601
446.669,495.487,498.375,473.897,341.897,347.767,344.849,315.829,275.122,292.363,224.738,245.477,240.484,301.959,290.067,436.362,350.11,349.787
466.57,544.648,524.426,517.545,354.395,353.722,336.321,313.73,267.6,279.14,222.889,245.247,239.088,307.148,299.966,425.584,390.81,387.417
476.428,598.354,568.099,574.511,392.71,374.532,336.091,314.581,262.211,278.925,228.7,245.733,244.097,314.122,301.406,431.78,447.415,419.845
483.548,641.865,609.529,616.907,430.385,395.02,338.616,311.148,261.957,271.658,226.362,248.997,247.509,321.909,306.717,423.323,460.11,440.329
479.732,660.88,630.718,635.275,446.804,418.742,351.232,304.016,260.056,273.092,231.949,246.62,248.931,329.734,306.699,413.495,433.422,439.489
491.98,671.738,633.438,661.248,463.9,449.086,341.708,305.199,252.617,265.493,230.264,244.807,249.794,326.882,305.014,403.173,403.117,450.871
500.734,723.133,664.749,685.41,487.278,473.808,346.796,309.917,259.739,264.931,229.326,245.55,256.34,335.692,305.199,409.802,378.567,464.292
513.055,732.824,700.012,714.481,510.38,496.339,336.849,306.974,255.202,264.329,226.228,244.781,257.224,341.529,307.02,400.039,393.922,477.765
513.625,818.663,744.825,756.14,539.323,535.53,351.084,307.522,253.6,269.918,229.655,246.53,259.026,350.135,318.779,408.708,426.296,483.892
530.229,853.38,798.385,785.162,546.729,546.299,347.684,304.559,255.344,266.669,232.757,243.816,258.717,358.612,320.467,428.173,472.289,509.162
554.404,901.129,826.074,801.271,569.456,567.086,347.117,303.74,248.902,269.239,228.638,244.849,260.296,363.442,323.83,437.191,524.7,500.957
578.935,903.642,833.702,793.586,564.978,571.781,351.308,304.461,245.807,260.943,225.602,247.149,266.2,367.456,341.697,472.306,553.518,518.957
586.084,881.689,796.951,751.607,525.721,548.223,353.397,311.734,245.813,256.432,229.219,246.297,285.141,410.245,421.297,575.641,580.986,520.961
578.616,844.582,721.617,675.652,480.737,503.501,343.029,309.268,246.587,254.931,225.211,248.788,290.144,451.981,512.98,665.12,617.344,536.947
593.712,887.116,706.504,668.374,490.09,514.151,351.744,301.089,244.435,252.451,228.743,251.214,307.196,483.334,587.518,788.634,632.759,552.546
